,Pathways,,ID,group,ONTOLOGY,Description
90,infla,,GO:0045087,MALE_WT+MALE_HET+FEMALE_WT,BP,innate immune response
91,infla,,GO:0002250,MALE_WT+MALE_HET+FEMALE_WT,BP,adaptive immune response
8,energy,glucose/carbohydrate,GO:0044275,MALE_FASTED_WT,BP,cellular carbohydrate catabolic process
9,energy,glucose/carbohydrate,GO:0010907,FEMALE_HET,BP,positive regulation of glucose metabolic process
11,energy,glucose/carbohydrate,GO:0016051,FEMALE_WT,BP,carbohydrate biosynthetic process
12,energy,glucose/carbohydrate,GO:0006094,FEMALE_WT,BP,gluconeogenesis
15,energy,fatty acid/lipid,GO:0006635,MALE_FASTED_WT+MALE_FASTED_HET,BP,fatty acid beta-oxidation
59,energy,fatty acid/lipid,GO:0008203,MALE_FASTED_HET,BP,cholesterol metabolic process
6,hormone,,GO:0019218,MALE_FULL_YOUNG+MALE_FULL_OLD+MALE_FASTED_OLD,BP,regulation of steroid metabolic process
76,hormone,,GO:0006694,MALE_FULL_YOUNG+MALE_FASTED_OLD,BP,steroid biosynthetic process
4,mitochondria,respiation,GO:0032981,FEMALE_YOUNG,BP,mitochondrial respiratory chain complex I assembly
1,mitochondria,,GO:0010639,MALE_FULL_WT+MALE_FULL_HET+MALE_FASTED_WT,BP,negative regulation of organelle organization
2,mitochondria,,GO:0048285,MALE_FULL_OLD+MALE_FASTED_OLD,BP,organelle fission
